date,open,high,low,close,adj_close,volume,ticker
2021-03-29,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,118.23333740234375,80819200,AAPL
2021-03-30,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,116.7820816040039,85671900,AAPL
2021-03-31,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,118.97357177734375,118323800,AAPL
2021-04-01,123.66000366210938,124.18000030517578,122.48999786376953,123.0,119.80146026611328,75089100,AAPL
2021-04-05,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,122.62603759765625,88651200,AAPL
2021-04-06,126.5,127.12999725341797,125.6500015258789,126.20999908447266,122.92797088623047,80171300,AAPL
2021-04-07,125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789,124.57405090332031,83466700,AAPL
2021-04-08,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,126.97004699707031,88844600,AAPL
2021-04-09,129.8000030517578,133.0399932861328,129.47000122070312,133.0,129.54144287109375,106686700,AAPL
2021-04-12,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,127.82720184326172,91420000,AAPL
2021-04-13,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,130.93421936035156,91266500,AAPL
2021-04-14,134.94000244140625,135.0,131.66000366210938,132.02999877929688,128.59661865234375,87222800,AAPL
2021-04-15,133.82000732421875,135.0,133.63999938964844,134.5,131.00241088867188,89347100,AAPL
2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,130.67124938964844,84922400,AAPL
2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,131.33352661132812,94264200,AAPL
2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,129.64852905273438,94812300,AAPL
2021-04-21,132.36000061035156,133.75,131.3000030517578,133.5,130.0283966064453,68847100,AAPL
2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,128.50897216796875,84566500,AAPL
2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,130.82711791992188,78657500,AAPL
2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,131.21669006347656,66905100,AAPL
2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,130.89529418945312,66015800,AAPL
2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,130.10629272460938,107760100,AAPL
2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,130.00892639160156,151101000,AAPL
2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,128.04148864746094,109839500,AAPL
2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,129.09336853027344,75135100,AAPL
2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211,124.52534484863281,137564700,AAPL
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,124.76885223388672,84000900,AAPL
2021-05-06,127.88999938964844,129.75,127.12999725341797,129.74000549316406,126.36619567871094,78128300,AAPL
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,127.03942108154297,78973300,AAPL
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211,123.7612075805664,88071200,AAPL
2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938,122.84410095214844,126142800,AAPL
2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664,119.7805404663086,112172300,AAPL
2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312,121.92698669433594,105861300,AAPL
2021-05-14,126.25,127.88999938964844,125.8499984741211,127.44999694824219,124.34658813476562,81918000,AAPL
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,126.2699966430664,123.1953125,74244600,AAPL
2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,124.8499984741211,121.80989837646484,63342900,AAPL
2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,124.69000244140625,121.65379333496094,92612000,AAPL
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859375,124.20997619628906,76857100,AAPL
2021-05-21,127.81999969482422,128.0,125.20999908447266,125.43000030517578,122.37579345703125,79295400,AAPL
2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,124.00509643554688,63092900,AAPL
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,123.80997467041016,72009500,AAPL
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,123.7612075805664,56575900,AAPL
2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,122.22942352294922,94625600,AAPL
2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,121.57575225830078,71311100,AAPL
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,121.25377655029297,67637100,AAPL
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,122.0147933959961,59278900,AAPL
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,120.53179931640625,76229200,AAPL
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,122.82456970214844,75169300,AAPL
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,122.83433532714844,71057600,AAPL
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,123.65389251708984,74403800,AAPL
2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341797,124.03437805175781,56877900,AAPL
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,123.03922271728516,71186400,AAPL
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,127.3499984741211,124.2490234375,53522400,AAPL
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,127.30281829833984,96906500,AAPL
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,126.4832534790039,62746300,AAPL
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,126.98084259033203,91815000,AAPL
